Ball's radius: 1m
Start condition z0: 6m
Start condition v0: 2m/s

Time:	z(t):	v_z(t):	E(t)	Energy error:
17.375	3.41172	7.36037	126829	635.689
17.4375	3.85258	6.74724	126829	635.689
17.5	4.25513	6.13412	126829	635.689
17.5625	4.61935	5.52099	126829	635.689
17.625	4.94525	4.90787	126829	635.689
17.6875	5.23283	4.29474	126829	635.689
17.75	5.48209	3.68162	126829	635.689
17.8125	5.69303	3.06849	126829	635.689
17.875	5.86565	2.45537	126829	635.689
17.9375	5.99995	1.84224	126829	635.689
18	6.09593	1.22912	126829	635.689
18.0625	6.15359	0.615993	126829	635.689
18.125	6.17293	0.00286761	126829	635.689
18.1875	6.15395	-0.610257	126829	635.689
18.25	6.09665	-1.22338	126829	635.689
18.3125	6.00103	-1.83651	126829	635.689
18.375	5.86709	-2.44963	126829	635.689
18.4375	5.69483	-3.06276	126829	635.689
18.5	5.48424	-3.67588	126829	635.689
18.5625	5.23534	-4.28901	126829	635.689
18.625	4.94812	-4.90213	126829	635.689
18.6875	4.62257	-5.51526	126829	635.689
18.75	4.25871	-6.12838	126829	635.689
18.8125	3.85653	-6.74151	126829	635.689
18.875	3.41602	-7.35463	126829	635.689
18.9375	2.9372	-7.96776	126829	635.689
19	2.42005	-8.58088	126829	635.689
19.0625	1.86459	-9.19401	126829	635.689
19.125	1.2708	-9.80713	126829	635.689
19.1875	0.638726	-10.4017	127063	401.512
19.25	-0.0224083	-10.667	129551	2085.8
19.3125	-0.682354	-10.3666	130746	3281.11
